title,publication_date,source,domain,url,collector,region,location_mention
Russian missile hits apartment building in Ukraine's Kharkiv killing at least 10 - PBS,2026-03-07 08:00:00+00:00,PBS,news.google.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxNNU9MMVZwcWh4QzlxMGFzam5PNGdqZ0U2c09sYm1nMGhLeHNMeGY3bGZWbmcwOFg4eUxTbEljcUt4TmluUnpZT3RPeEJwcU8zSDBkV19uQmdpZTdKLUVOaU5vS3NCWXpiX0tIQmNpOTh3Z05CME1kMFkwUWVDNUE2OGJBc0xFWVhiSlpVQk1nQzFVWXZXV0cxUWJIOUtEeV95Z2ctS0V6UTBIVm9tQkFfN2dsbW7SAboBQVVfeXFMTkFrOWk3MTB4SnkybEVqR1hZcnMyS1QyeV9GSi00TzN3NWRhUlI3YUdPZ24xbk96a3RoTVEwWG1GOGRHU2lFSEdqRjRJam0tdHFkb0ZTdWR5dU1waWdOSjJIMlZLNl84OGtDaE5qcFJmdEpreVlwWFp4LTBCSnpDVmhVeXM4T0N6ZDlPWEJsR2ZKTU05SHpIY2VMMHZKbVBVRm1OOVU4UkxKRW55cFlRNUdwd2dTUTd3bFJ3?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
What the Iran conflict means for Russia - Lowy Institute,2026-03-03 08:00:00+00:00,Lowy Institute,news.google.com,https://news.google.com/rss/articles/CBMigwFBVV95cUxPRnA5ZnVtRFRILXJ1TkxTZHhPbUFJdVlTN3FkclBqWVBFZDlqWEJaRUpVRDZrRjNjdWRMMXRlejF4QmFYNXAxWUZ6dnpqN3R0bGpzaUpfcUszNmRWaXZnUzZXWjcweUw0Tl9zWklwQzJOVkNmbjJRQWt3eklGNVA2SEgyNA?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
What Are the Unintended Consequences of the U.S.-Iran Conflict for Defense and Security? - CSIS | Center for Strategic and International Studies,2026-04-09 07:00:00+00:00,CSIS | Center for Strategic and International Studies,news.google.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxQQVlpUUxHNGxaXzB6TmptdnhQdklnYlc5OW9yR25GOWhQWmY0bnd2YlAxMTBSSUU5T1hQV3ZJZmE0Y1FFeU40MWNUTENOWGRqa2ZtUENkTUE0WnYtdjZmR012dEE4RlNXd1ZvSDQyeTFuSFBiazhUUl9IYlh5UGpURUJVcUFjWlZUalVLWjZ2Z0s3Wm9pYVBNdVFaRGRfNE1VX1E?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Mapping Russian attacks and territorial gains across Ukraine - Al Jazeera,2026-02-24 08:00:00+00:00,Al Jazeera,news.google.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxQT1dUV3JrRVVBbG80dEJiMTlEbHA0WkxSRE5VUTFJYnNMMG1ETjNaSHBZTkxMUVdxcG5lOG14cERWeXJmVFpyUnhmRTRRXzBjV2lHWkJNYUhBVVBXVkZvYjFIUDRYaGQ2WEJvRjRKUlRUSDdfa1dSQU42OWt5MURNUDNsTWRQdm9MUVE1aExqaVV1TU5xUHIzVmJJSl9tcFNORXVR0gGoAUFVX3lxTE5STjh0NDlBWGZqUzJDX2M3VFdlQkp0aVdxSURCZzNhUHBoTUhPbk1aNW8tSHpqTVVFUXhuam82TWQ5UkcycWxhNU9udlFOUWN5RGNMNHR3cElvMUVKMlRPWVRyeFctUm94UmRQXy1meENiU1Z2M3JpaHFNc3hIU0dvVTgtTTZUVFNBb2VpT2QybkRsNFh3Y2tNS3U1c1RkM1VzNkNFN3ZlMQ?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Iran conflict may divert US weapons from Ukraine - Reuters,2026-03-04 08:00:00+00:00,Reuters,news.google.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQcmhHT25iSEhVUWdvZENaSWZBakhvVHJxYUViTlNFTEw0WkFLNXV1N0k0UlJxMjJIczFlSV92TExVazgxbzRGOWNEdGthQkx6ZmpEaXBCeGxaSl9ZR1puR1JtT3h6QW9IMUhuZHJSS0hKclhlaVJoLTU2M3FHY2pXRTlmV3BJNk1waG11NnNjZU01WGlScnJLQjh4X0w4ZjdhRXpJMEN5Zmhodw?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Fallout From Mideast Swirls Over the War in Ukraine - The New York Times,2026-03-05 08:00:00+00:00,The New York Times,news.google.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxPWXJzX2JaclRGdVBfcUhjR0dJX0R3N0M1MDJmbTZIU2NJVGU0M0hkMTBUYnAyajc2TmIwV3BCYzk4WlJXbTdPMi1FSGZlOC1FTGxzRG9vTUI3a1NKRUQwVlA1ZmlubjdLeWR4SUJ3cS1GUXpKMDlKcE81OExBTzFyZTFMUGFza0hWQ05qWjV2cw?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
"First Ukraine, Now Iran: A New Era of Drone Warfare Takes Hold - Council on Foreign Relations",2026-03-09 07:00:00+00:00,Council on Foreign Relations,news.google.com,https://news.google.com/rss/articles/CBMiggFBVV95cUxOalZjVzZzajg4M3JlY0VxQ2otc0pLWTBaeEFRSTZhYTQxa2kyQUJNR2tMLUJXRGswMVlxZG9qQllITkRaVEVnOWxsN2FHTHVOWm5MdnowQWl2aXlGcEg0WmwtQUNhM0RnZ2g0MjRpS0xOR2ZWVmRRZ0xCeGNBSWtmLTZ3?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Zelenskyy says Ukraine is using drone expertise to help 5 countries against Iran attacks - PBS,2026-03-20 07:00:00+00:00,PBS,news.google.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxONTV3QXEwRnl4WXFpNnBkSFVMNHdtc2xPclFUTkYxVC11SHpYVjZyN3UzX2pCM2stS0RvMW85OEx3YWlPOU5fMTZQQ0MzbWhTZ0diLTRIT01nMlNwX1B1b2dFMmlCdGJtUHhfS0tnQlRtSDd3WkVPMGJJM1h2QmZDRDZMTzAzMEw3NDl3aXZ0TVVqUl9OTDBvWXVEYUxCOU85OTlWcXZZQ0hoRl90NzZrY2lqVzItN1k4aURCMDVldjPSAcYBQVVfeXFMTUFkUDBqS1pIam93Q1IxaV9Rb3NmT1pUY3lGdHpwUF8ybnplQ053Vk1zRW5OaGdnSWhIS05ocFNORU1IS1RzbEFTdjU4ZC1OanJsRnNicmVXaTdodjdHU2E1SkRlMTJOZTVuMzFYNGpiNWNLWjZ1X0lwRjlPSWNOaVgwNkFtZVpoRklYZnFWQkdNWFV0VHdiTmpQQVpVdVVkVzNNdWgzMTc3VVNfbENhS2JXM0dDdFgxeFRVZlc1ZzFkUmZqUWln?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
"Russia-Ukraine war: List of key events, day 1,462 - Al Jazeera",2026-02-25 08:00:00+00:00,Al Jazeera,news.google.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxPSGoxUkNEaUIxUzJoZlZCdmNGWnRvZkRSZDQwdmpjc3BWQThPdDBjQXcwQjZ1eUVqeG93WXFYWGZoeVNOTllUVFlrVzFOV2lqU3lEWXpja1N6cnhfcWJsMjVkV1R6Y1dOc183ZTM2WHZ4NHJ4eUdvb2ZjNlhPV09jdFp4SWt5WEpBSTVWQ2ozUUrSAZYBQVVfeXFMUFlhVVNfUVhpU01jTGRJOWRlYXJDWkpNMUNSMGJOeTE3S1F3ZG9qRG9UaG8yczRVUkp1alJ1SUx6QU9NQnphZE1NTWd5bng1ZzVoeHBLSDVCOHRGOEZLUWNlaXBZX0RPcmhMbWlyRDdzU2RvOGt1NTV1UFRmSHA4Y1N5ei1hd05wVVAwd1hUUEoyb2JvN3h3?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
How Russia could benefit from the US-Israeli war on Iran - Al Jazeera,2026-03-03 08:00:00+00:00,Al Jazeera,news.google.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxOMmlId2FjUnFwRER4WXRpUFZJaElYVGhkbWlWU3VkaEZuUFNCZEx3Q1VzQl8zLUthWU85d0RoRE9BVW1HOWl5RVB2bXFDMWR5ekdybVJBdkhpSTNiUlFRRUNwVVBycVRXRDhMdEo5QmdEWS1pN1owTjdleklQSWtxb29HUjlRSHpwQ2dkbmFqbzlVUi1pRXRvZkZhVGdXVVFESVHSAacBQVVfeXFMT1NqVXA5cUZrQ01Ma2ZGN1dVR3lPVmwyVm1OLVFsVGZaV09uYjNfOF9kMVpSRG9TMXRVQndMclh2UkM2X3NGYzR2SW1Cc3VWY0pidklzVl9Oa0dhU1dhTGNfeWRYNThjUUl5LTA5YzllNm9MTUtNWW1iM0s5NW5jZkV2ME4xekItdkUwQ0FDN1lmb2pDMmM5YVJhRUVjVWh0ZEtEZmZRSDg?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
