title,publication_date,source,domain,url,region,collector,location_mention
Israeli military says missile fired from Yemen,2025-04-13 20:30:00+00:00,Saudi Arabia,arabnews.com,https://www.arabnews.com/node/2596898/middle-east,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Israeli air strikes target Sanaa airport in Yemen - World,2025-05-28 10:45:00+00:00,Pakistan,brecorder.com,https://www.brecorder.com/news/40365126/israeli-air-strikes-target-sanaa-airport-in-yemen,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Hegseth warns Iran  will pay consequence  of supporting Houthis,2025-05-01 04:15:00+00:00,United Kingdom,yourlocalguardian.co.uk,https://www.yourlocalguardian.co.uk/news/national/25129524.hegseth-warns-iran-will-pay-consequence-supporting-houthis/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
68 killed in US strikes on Yemen : Houthi media,2025-04-28 21:30:00+00:00,Pakistan,pakistantoday.com.pk,https://www.pakistantoday.com.pk/2025/04/28/68-killed-in-us-strikes-on-yemen-houthi-media/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
UK military launches air strikes with US targeting Yemen Houthis,2025-04-30 03:45:00+00:00,China,scmp.com,https://www.scmp.com/news/world/middle-east/article/3308461/uk-military-launches-air-strikes-us-targeting-yemens-houthis,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"US strikes on Hodeida killed eight , say Yemen rebels | Borneo Bulletin Online",2025-04-09 23:15:00+00:00,Brunei,borneobulletin.com.bn,https://borneobulletin.com.bn/us-strikes-on-hodeida-killed-eight-say-yemen-rebels/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
الجيش البريطاني يشن غارات جوية بالتعاون مع الولايات المتحدة ضد أهداف حوثية,2025-04-30 13:15:00+00:00,Syria,elaph.com,https://elaph.com/Web/News/2025/04/1566936.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
高超音速导弹袭击 ！ 这国  数百万人逃入防空洞  _ 东方财富网,2025-05-16 03:45:00+00:00,China,finance.eastmoney.com,https://finance.eastmoney.com/a/202505163406608769.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Les frappes américaines au Yémen sintensifient , possible prélude à une offensive terrestre",2025-04-17 10:00:00+00:00,France,lemonde.fr,https://www.lemonde.fr/international/article/2025/04/17/les-frappes-americaines-au-yemen-s-intensifient-possible-prelude-a-une-offensive-terrestre_6596933_3210.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi Rebels Shot Down 7 US Reaper Drones Worth $200 Million In Recent Weeks,2025-04-27 12:15:00+00:00,United States,theyeshivaworld.com,https://www.theyeshivaworld.com/news/israel-news/2392242/houthi-rebels-shot-down-7-us-reaper-drones-worth-200-million-in-recent-weeks.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"AS Hantam Pelabuhan Bahan Bakar Houthi di Yaman , 20 Orang Tewas",2025-04-18 05:00:00+00:00,Indonesia,kompas.com,https://www.kompas.com/global/read/2025/04/18/112734670/as-hantam-pelabuhan-bahan-bakar-houthi-di-yaman-20-orang-tewas,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi rebels destroy seven US Reaper drones worth millions in mere weeks,2025-04-25 05:30:00+00:00,United Kingdom,dorsetecho.co.uk,https://www.dorsetecho.co.uk/news/national/25114384.houthi-rebels-destroy-seven-us-reaper-drones-worth-millions-mere-weeks/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
EUA afirmam ter destruído porto de petróleo no Iêmen ; ataques deixaram dezenas de mortos,2025-04-18 13:45:00+00:00,Brazil,terra.com.br,"https://www.terra.com.br/noticias/mundo/eua-afirmam-ter-destruido-porto-de-petroleo-no-iemen-ataques-deixaram-dezenas-de-mortos,60b4990a9786cb341f65673a7778f3f0osyilxev.html",Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
USA har angrepet 800 mål i Jemen siden midten av mars - Teknisk Ukeblad,2025-04-28 04:30:00+00:00,Norway,tu.no,https://www.tu.no/nyhetsstudio/usa-har-angrepet-800-maal-i-jemen-siden-midten-av-mars/77262,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
جريدة البلاد | جماعة الحوثي : وقف إطلاق النار مع أميركا لا يشمل إسرائيل,2025-05-07 16:00:00+00:00,Bahrain,albiladpress.com,https://www.albiladpress.com/news/2025/6050/arab-and-world/914797.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthis say at least 68 African migrants killed in U . S . airstrike on detention center,2025-04-28 11:45:00+00:00,United States,yahoo.com,https://www.yahoo.com/news/houthis-least-68-african-migrants-110841584.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
US strikes kill over 500 Houthis in last month,2025-04-22 08:30:00+00:00,Afghanistan,khaama.com,https://www.khaama.com/us-strikes-kill-over-500-houthis-in-last-month/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
